,ImageID,Int1,Uni1,Int2,Uni2
507,CHUP-052_324_ax_fg,0,0,0,8
508,CHUP-052_325_ax_fg,0,0,1,9
509,CHUP-052_326_ax_fg,0,0,1,14
510,CHUP-052_327_ax_fg,0,1,2,17
511,CHUP-052_328_ax_fg,0,2,1,16
512,CHUP-052_329_ax_fg,0,2,2,16
513,CHUP-052_330_ax_fg,0,1,2,18
514,CHUP-052_331_ax_fg,0,2,1,14
515,CHUP-052_332_ax_fg,0,2,2,18
516,CHUP-052_333_ax_fg,1,4,2,18
517,CHUP-052_334_ax_fg,2,11,2,14
518,CHUP-052_335_ax_fg,2,12,3,12
519,CHUP-052_336_ax_fg,6,18,3,9
520,CHUP-052_337_ax_fg,9,24,1,6
521,CHUP-052_338_ax_fg,10,26,0,2
522,CHUP-052_339_ax_fg,11,25,0,1
523,CHUP-052_340_ax_fg,7,20,0,1
524,CHUP-052_341_ax_fg,8,23,0,0
525,CHUP-052_342_ax_fg,9,31,0,0
526,CHUP-052_343_ax_fg,11,31,0,0
527,CHUP-052_344_ax_fg,13,37,0,0
528,CHUP-052_345_ax_fg,13,34,0,0
529,CHUP-052_346_ax_fg,13,29,0,0
530,CHUP-052_347_ax_fg,5,20,0,0
531,CHUP-052_348_ax_fg,2,11,0,0
532,CHUP-052_349_ax_fg,1,10,0,0
533,CHUP-052_350_ax_fg,0,4,0,0
534,CHUP-052_351_ax_fg,0,2,0,0
535,CHUP-052_352_ax_fg,0,2,0,0
536,CHUP-052_353_ax_fg,0,4,0,0
537,CHUP-062_378_ax_fg,0,0,0,0
538,CHUP-062_379_ax_fg,1,3,0,0
539,CHUP-062_380_ax_fg,1,3,0,0
540,CHUP-062_381_ax_fg,2,6,0,0
541,CHUP-062_382_ax_fg,3,7,0,0
542,CHUP-062_383_ax_fg,4,8,0,0
543,CHUP-062_384_ax_fg,4,8,0,0
544,CHUP-062_385_ax_fg,3,8,0,0
545,CHUP-062_386_ax_fg,3,12,0,0
546,CHUP-062_387_ax_fg,3,15,0,0
547,CHUP-062_388_ax_fg,3,13,0,0
548,CHUP-062_389_ax_fg,3,12,0,0
549,CHUP-062_390_ax_fg,0,9,0,0
550,CHUP-062_391_ax_fg,0,8,0,0
551,CHUP-063_361_ax_fg,0,0,2,6
552,CHUP-063_362_ax_fg,0,0,5,11
553,CHUP-063_363_ax_fg,0,0,5,11
554,CHUP-063_364_ax_fg,0,0,5,10
555,CHUP-063_365_ax_fg,0,0,3,8
